1742250,Andrei Chirila,FC Cincinnati 2,722265,https://www.fotmob.com/players/1742250/andrei-chirila,Center Back,CB,defenders,188 cm,88,17,USA,Left,$22.9k,20000.0,€20k,,MLS,Eastern,MLS Next Pro,2026,,,6.75,6,540,1,0,,,,,,,,,,,,,,,1,0,,,6.38,6,4,,,,,,,,,,,,,,,,0.21,0.0,,,,,,0.0,0.0,6.0,1,3,0,0.04,277,85.2,14,28.6,1,1,100.0,16,72.7,396,2,4,41,6,3,1,16,,26,1,14,11.34,1,0,419,0.21,0.64,0.0,0.01,59.5,85.23,3.01,28.57,0.21,0.21,100.0,3.44,72.73,85.06,0.43,0.86,8.81,1.29,0.64,0.21,3.44,,5.58,0.21,3.01,2.44,0.10,0.10,5,62.5,3,6,0.02,0.02,1.07,62.5,0.64,1.29,0.25,2,1,0.05,0.43,0.21,,,,,,,,,,,,,,,22940.0
861112,Obinna Nwobodo,FC Cincinnati,722265,https://www.fotmob.com/players/861112/obinna-nwobodo,Central Midfielder,CM,midfielders,179 cm,5,29,Nigeria,Both,$2.0m,1740644.0,€1.7m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,6.62,10,371,4,0,,,,,,,,,,,,,,,4,0,,,6.62,10,4,,,,,,,,,,,,,,,,0.97,0.0,,,,,,0.0,0.0,4.0,0,5,0,0.16,150,78.1,7,46.7,,2,40.0,27,50.9,270,3,2,38,19,9,16,28,5,9,0,13,6.40,0,0,371,0.0,1.21,0.0,0.04,36.39,78.12,1.7,46.67,,0.49,40.0,6.55,50.94,65.5,0.73,0.49,9.22,4.61,2.18,3.88,6.79,1.21,2.18,0.0,3.15,1.55,0.36,0.36,4,100.0,5,1,0.09,0.09,0.97,100.0,1.21,0.24,0.25,1,,0.06,0.24,,,3,,0.73,1,20.0,0.24,20.0,,,,,,,1996518.67
787351,Evander Ferreira,FC Cincinnati,722265,https://www.fotmob.com/players/787351/evander-ferreira,Central Midfielder,CM,midfielders,179 cm,10,28,Brazil,Right,$15.5m,13538136.0,€13.5m,2027-12-31,MLS,Eastern,Major League Soccer,2026,,,7.89,14,1109,2,0,,,,,,,,,,,,,,,2,0,,,7.89,14,13,,,,,,,,,,,,,,,,0.16,0.0,,,,,,9.0,6.0,13.0,9,50,6,5.60,409,84.0,27,65.9,39,26,47.3,63,44.1,790,22,21,21,13,5,16,39,8,3,1,36,24.40,9,6,1109,0.73,4.06,0.49,0.45,33.19,83.98,2.19,65.85,3.17,2.11,47.27,5.11,44.06,64.11,1.79,1.7,1.7,1.06,0.41,1.3,3.17,0.65,0.24,0.08,2.92,1.98,6.28,3.91,3,37.5,56,,0.51,0.32,0.24,37.5,4.54,,8.62,25,2,0.7,2.03,0.16,,5,,0.41,25,39.1,2.03,39.06,3,11,2,0.24,0.89,0.16,15528241.99
1383071,Samuel Gidi,FC Cincinnati,722265,https://www.fotmob.com/players/1383071/samuel-gidi,Central Midfielder,CM,midfielders,178 cm,11,22,Slovakia,Right,$1.8m,1549062.0,€1.5m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,6.93,14,1048,2,0,,,,,,,,,,,,,,,2,0,,,6.93,14,12,,,,,,,,,,,,,,,,0.17,0.0,,,,,,0.0,0.0,12.0,0,1,0,0.56,545,85.4,40,58.8,8,6,40.0,49,47.6,870,13,18,86,14,24,9,81,14,35,2,24,20.45,0,0,1048,0.0,0.09,0.0,0.05,46.8,85.42,3.44,58.82,0.69,0.52,40.0,4.21,47.57,74.71,1.12,1.55,7.39,1.2,2.06,0.77,6.96,1.2,3.01,0.17,2.06,1.76,0.11,0.11,11,55.0,2,13,0.01,0.01,0.94,55.0,0.17,1.12,,,,,,,1,1,0.09,0.09,1,50.0,0.09,50.0,,1,,,0.09,,1776774.11
923247,Pavel Bucha,FC Cincinnati,722265,https://www.fotmob.com/players/923247/pavel-bucha,Central Midfielder,CM,midfielders,174 cm,20,28,Czechia,Right,$2.1m,1851706.0,€1.9m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,7.42,14,1213,1,0,,,,,,,,,,,,,,,1,0,,,7.42,14,14,,,,,,,,,,,,,,,,0.07,0.0,,,,,,2.0,4.0,14.0,2,12,4,1.93,492,85.7,15,78.9,12,9,45.0,49,47.1,780,18,10,54,23,13,6,93,10,17,1,30,23.89,2,4,1213,0.15,0.89,0.3,0.14,36.5,85.71,1.11,78.95,0.89,0.67,45.0,3.64,47.12,57.87,1.34,0.74,4.01,1.71,0.96,0.45,6.9,0.74,1.26,0.07,2.23,1.77,0.95,0.95,8,44.4,43,1,0.07,0.07,0.59,44.44,3.19,0.07,2.47,4,1,0.18,0.3,0.07,,8,,0.59,4,30.8,0.3,30.77,,2,1,,0.15,0.07,2123906.78
1362857,Gerardo Valenzuela,FC Cincinnati,722265,https://www.fotmob.com/players/1362857/gerardo-valenzuela,Striker,ST,midfielders,183 cm,22,21,USA,Right,$1.2m,1016200.0,€1m,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.67,13,776,2,1,,,,,,,,,,,,,,,2,1,,,6.67,13,9,,,,,,,,,,,,,,,,0.23,0.12,,,,,,1.0,1.0,9.0,1,13,1,1.17,314,90.5,23,76.7,15,5,23.8,47,41.2,531,16,24,37,12,11,17,20,4,12,1,18,13.76,1,1,776,0.12,1.51,0.12,0.14,36.42,90.49,2.67,76.67,1.74,0.58,23.81,5.45,41.23,61.59,1.86,2.78,4.29,1.39,1.28,1.97,2.32,0.46,1.39,0.12,2.09,1.6,1.19,1.19,8,36.4,23,2,0.14,0.14,0.93,36.36,2.67,0.23,1.20,4,2,0.14,0.46,0.23,,,,,8,42.1,0.93,42.11,,1,1,,0.12,0.12,1165581.4
841458,Brian Anunga,FC Cincinnati,722265,https://www.fotmob.com/players/841458/brian-anunga,Central Midfielder,CM,midfielders,180 cm,27,29,Cameroon,Right,$214.6k,187062.0,€187.1k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,6.64,8,385,1,0,,,,,,,,,,,,,,,1,0,,,6.64,8,4,,,,,,,,,,,,,,,,0.23,0.0,,,,,,0.0,0.0,4.0,0,0,0,0.04,190,88.8,4,33.3,,2,50.0,24,53.3,272,6,8,22,13,5,5,34,5,4,1,13,8.37,0,0,385,0.0,0.0,0.0,0.01,44.42,88.79,0.94,33.33,,0.47,50.0,5.61,53.33,63.58,1.4,1.87,5.14,3.04,1.17,1.17,7.95,1.17,0.94,0.23,3.04,1.96,,,1,25.0,,,,,0.23,25.0,,,,,,,,,,1,,0.23,,,,,,,,,,,214560.11
1458513,Bryan Ramírez,FC Cincinnati,722265,https://www.fotmob.com/players/1458513/bryan-ram-rez,Left Midfielder,LM,midfielders,177 cm,29,25,Ecuador,Left,$2.7m,2339756.0,€2.3m,2029-06-30,MLS,Eastern,Major League Soccer,2026,,,7.32,14,1123,6,0,,,,,,,,,,,,,,,6,0,,,7.32,14,13,,,,,,,,,,,,,,,,0.48,0.0,,,,,,0.0,2.0,13.0,0,11,2,1.33,465,87.2,26,76.5,19,26,60.5,74,55.2,824,4,6,82,34,21,22,78,10,24,1,28,20.79,0,2,1123,0.0,0.88,0.16,0.11,37.27,87.24,2.08,76.47,1.52,2.08,60.47,5.93,55.22,66.04,0.32,0.48,6.57,2.72,1.68,1.76,6.25,0.8,1.92,0.08,2.24,1.67,0.33,0.33,8,50.0,31,3,0.03,0.03,0.64,50.0,2.48,0.24,0.15,3,,0.01,0.24,,,10,,0.8,13,34.2,1.04,34.21,,5,,,0.4,,2683700.13
1440050,Stiven Jimenez,FC Cincinnati,722265,https://www.fotmob.com/players/1440050/stiven-jimenez,Defensive Midfielder,DM,midfielders,168 cm,37,18,USA,Right,$767.9k,669446.0,€669.4k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,,1,2,0,0,,,,,,,,,,,,,,,0,0,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767854.56
1910887,Ayoub Lajhar,FC Cincinnati 2,722265,https://www.fotmob.com/players/1910887/ayoub-lajhar,Left Wing-Back,LWB,midfielders,183 cm,55,21,Libya,Left,$137.6k,120000.0,€120k,,MLS,Eastern,MLS Next Pro,2026,,,6.79,7,560,2,1,,,,,,,,,,,,,,,2,1,,,6.70,4,0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,7.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137640.0
1248686,Ender Echenique,FC Cincinnati,722265,https://www.fotmob.com/players/1248686/ender-echenique,Right Wing-Back,RWB,midfielders,167 cm,66,22,Venezuela,Right,$1.3m,1155499.0,€1.2m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,7.02,13,776,1,0,,,,,,,,,,,,,,,1,0,,,7.02,13,8,,,,,,,,,,,,,,,,0.12,0.0,,,,,,1.0,4.0,8.0,1,14,4,1.93,166,75.1,8,47.1,21,17,43.6,43,39.8,420,8,8,36,15,9,9,43,11,10,0,21,14.77,1,4,776,0.12,1.62,0.46,0.22,19.25,75.11,0.93,47.06,2.44,1.97,43.59,4.99,39.81,48.71,0.93,0.93,4.18,1.74,1.04,1.04,4.99,1.28,1.16,0.0,2.44,1.71,1.47,1.47,3,16.7,40,2,0.17,0.17,0.35,16.67,4.64,0.23,1.39,5,,0.16,0.58,,,7,,0.81,10,31.2,1.16,31.25,,6,,,0.7,,1325357.35
820477,Kévin Denkey,FC Cincinnati,722265,https://www.fotmob.com/players/820477/k-vin-denkey,Striker,ST,attackers,181 cm,9,25,Togo,Right,$17.4m,15176388.0,€15.2m,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,7.41,14,1170,2,1,,,,,,,,,,,,,,,2,1,,,7.41,14,13,,,,,,,,,,,,,,,,0.15,0.08,,,,,,9.0,2.0,13.0,9,33,2,1.38,205,80.4,5,71.4,15,11,47.8,69,47.3,456,15,26,18,9,1,19,28,4,8,1,29,21.78,9,2,1170,0.69,2.54,0.15,0.11,15.77,80.39,0.38,71.43,1.15,0.85,47.83,5.31,47.26,35.08,1.15,2.0,1.38,0.69,0.08,1.46,2.15,0.31,0.62,0.08,2.23,1.68,8.76,7.19,24,46.2,63,,0.67,0.55,1.85,46.15,4.85,,9.18,15,2,0.71,1.15,0.15,,12,,0.92,,,,,2,1,1,0.15,0.08,0.08,17407317.04
1366206,Kristian Fletcher,FC Cincinnati 2,722265,https://www.fotmob.com/players/1366206/kristian-fletcher,forward,,attackers,183 cm,14,20,USA,Right,$688.5k,600262.0,€600.3k,,MLS,Eastern,MLS Next Pro,2026,,,6.13,1,45,0,0,,,,,,,,,,,,,,,0,0,,,6.13,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,0.0,1.0,0,1,0,,11,64.7,4,80.0,,2,40.0,3,33.3,29,1,1,,,,1,3,,,0,0,,0,0,45,0.0,2.0,0.0,,22.0,64.71,8.0,80.0,,4.0,40.0,6.0,33.33,58.0,2.0,2.0,,,,2.0,6.0,,,0.0,0.0,,,,,,3,,,,,,6.0,,,1,,,2.0,,,,,,,,,,,,,,,,688500.51
847753,Tom Barlow,FC Cincinnati,722265,https://www.fotmob.com/players/847753/tom-barlow,Striker,ST,attackers,188 cm,16,30,USA,Right,$156.0k,136027.0,€136k,,MLS,Eastern,Major League Soccer,2026,,,6.55,15,551,2,0,,,,,,,,,,,,,,,2,0,,,6.55,15,5,,,,,,,,,,,,,,,,0.33,0.0,,,,,,5.0,0.0,5.0,5,13,0,0.32,102,73.9,2,50.0,4,2,28.6,30,38.5,222,13,5,12,5,2,10,16,3,3,0,16,12.83,5,0,551,0.82,2.12,0.0,0.05,16.66,73.91,0.33,50.0,0.65,0.33,28.57,4.9,38.46,36.26,2.12,0.82,1.96,0.82,0.33,1.63,2.61,0.49,0.49,0.0,2.61,2.1,3.79,3.79,18,48.6,27,2,0.62,0.62,2.94,48.65,4.41,0.33,4.69,9,1,0.77,1.47,0.16,,4,,0.65,1,33.3,0.16,33.33,,,,,,,156022.97
1650499,Kenji Mboma Dem,FC Cincinnati,722265,https://www.fotmob.com/players/1650499/kenji-mboma-dem,Striker,ST,attackers,185 cm,17,24,France,Left,$312.0k,272002.0,€272k,2026-12-31,MLS,Eastern,Major League Soccer,2026,,,7.26,12,651,0,0,,,,,,,,,,,,,,,0,0,,,7.26,12,8,,,,,,,,,,,,,,,,0.0,0.0,,,,,,4.0,1.0,8.0,4,18,1,0.66,185,81.9,8,57.1,6,13,65.0,36,53.7,355,9,3,24,8,3,3,22,2,12,0,18,12.88,4,1,651,0.55,2.49,0.14,0.09,25.58,81.86,1.11,57.14,0.83,1.8,65.0,4.98,53.73,49.08,1.24,0.41,3.32,1.11,0.41,0.41,3.04,0.28,1.66,0.0,2.49,1.78,1.75,1.75,12,52.2,28,1,0.24,0.24,1.66,52.17,3.87,0.14,2.37,6,7,0.33,0.83,0.97,,7,,0.97,,,,,,,,,,,311986.29
1642605,Stefan Chirila,FC Cincinnati 2,722265,https://www.fotmob.com/players/1642605/stefan-chirila,Striker,ST,attackers,185 cm,19,19,Romania,Right,$217.9k,190000.0,€190k,,MLS,Eastern,MLS Next Pro,2026,,,6.85,10,788,2,0,,,,,,,,,,,,,,,2,0,,,6.85,10,10,,,,,,,,,,,,,,,,0.23,0.0,,,,,,4.0,1.0,10.0,4,24,1,,108,83.7,6,37.5,7,12,33.3,47,43.9,309,15,25,13,10,2,16,24,2,1,0,20,,4,1,788,0.46,2.74,0.11,,12.34,83.72,0.69,37.5,0.8,1.37,33.33,5.37,43.93,35.29,1.71,2.86,1.48,1.14,0.23,1.83,2.74,0.23,0.11,0.0,2.28,,,,,,35,,,,,,4.0,,,12,1,,1.37,0.11,,,,,4,26.7,0.46,26.67,1,1,,0.11,0.11,,217930.0
1731903,Ademar Chávez,FC Cincinnati 2,722265,https://www.fotmob.com/players/1731903/ademar-ch-vez,Striker,ST,attackers,175 cm,30,17,Mexico,Left,,,,,MLS,Eastern,MLS Next Pro,2026,,,6.46,10,748,2,0,,,,,,,,,,,,,,,2,0,,,6.46,10,10,,,,,,,,,,,,,,,,0.24,0.0,,,,,,0.0,2.0,10.0,0,12,2,,130,77.4,9,69.2,9,7,33.3,12,23.1,266,8,3,4,2,2,6,28,8,,0,16,,0,2,748,0.0,1.44,0.24,,15.64,77.38,1.08,69.23,1.08,0.84,33.33,1.44,23.08,32.01,0.96,0.36,0.48,0.24,0.24,0.72,3.37,0.96,,0.0,1.93,,,,,,17,,,,,,2.05,,,3,,,0.36,,,,,,3,20.0,0.36,20.0,,1,,,0.12,,
1364494,Ayoub Jabbari,FC Cincinnati,722265,https://www.fotmob.com/players/1364494/ayoub-jabbari,Striker,ST,attackers,198 cm,99,26,Morocco,Left,$437.5k,381448.0,€381.4k,2028-12-31,MLS,Eastern,Major League Soccer,2026,,,6.46,13,364,1,0,,,,,,,,,,,,,,,1,0,,,6.46,13,4,,,,,,,,,,,,,,,,0.25,0.0,,,,,,1.0,2.0,4.0,1,7,2,0.41,59,72.8,3,100.0,6,3,25.0,49,49.5,182,9,15,11,5,3,8,14,4,3,0,11,7.99,1,2,364,0.25,1.73,0.49,0.1,14.59,72.84,0.74,100.0,1.48,0.74,25.0,12.12,49.49,45.0,2.23,3.71,2.72,1.24,0.74,1.98,3.46,0.99,0.74,0.0,2.72,1.98,0.71,0.71,28,58.3,22,,0.18,0.18,6.92,58.33,5.44,,0.38,2,2,0.09,0.49,0.49,,7,,1.73,,,,,,3,,,0.74,,437520.86
